time,x_diff,y_diff,theta_diff,x_ackermann,y_ackermann,theta_ackermann
5.810000,5.666835,0.947627,0.318305,5.666835,0.947627,0.318305
5.820000,5.676333,0.950757,0.316845,5.676333,0.950757,0.316845
5.830000,5.685835,0.953872,0.315385,5.685835,0.953872,0.315385
5.840000,5.695342,0.956974,0.313925,5.695342,0.956974,0.313925
5.850000,5.704853,0.960062,0.312464,5.704853,0.960062,0.312464
5.860000,5.714369,0.963136,0.311004,5.714369,0.963136,0.311004
5.870000,5.723889,0.966196,0.309544,5.723889,0.966196,0.309544
5.880000,5.733414,0.969242,0.308084,5.733414,0.969242,0.308084
5.890000,5.742943,0.972275,0.306624,5.742943,0.972275,0.306624
5.900000,5.752477,0.975293,0.305164,5.752477,0.975293,0.305164
5.910000,5.762015,0.978298,0.303704,5.762015,0.978298,0.303704
5.920000,5.771557,0.981288,0.302244,5.771557,0.981288,0.302244
5.930000,5.781104,0.984265,0.300783,5.781104,0.984265,0.300783
5.940000,5.790655,0.987228,0.299323,5.790655,0.987228,0.299323
5.950000,5.800210,0.990176,0.297863,5.800210,0.990176,0.297863
5.960000,5.809770,0.993111,0.296403,5.809770,0.993111,0.296403
5.970000,5.819334,0.996032,0.294943,5.819334,0.996032,0.294943
5.980000,5.828902,0.998939,0.293483,5.828902,0.998939,0.293483
5.990000,5.838474,1.001832,0.292023,5.838474,1.001832,0.292023
6.000000,5.848051,1.004711,0.290563,5.848051,1.004711,0.290563
6.010000,5.857632,1.007575,0.289103,5.857632,1.007575,0.289103
6.020000,5.867217,1.010426,0.287642,5.867217,1.010426,0.287642
6.030000,5.876806,1.013263,0.286182,5.876806,1.013263,0.286182
6.040000,5.886399,1.016086,0.284722,5.886399,1.016086,0.284722
6.050000,5.895997,1.018895,0.283262,5.895997,1.018895,0.283262
6.060000,5.905598,1.021690,0.281802,5.905598,1.021690,0.281802
6.070000,5.915204,1.024471,0.280342,5.915204,1.024471,0.280342
6.080000,5.924813,1.027238,0.278882,5.924813,1.027238,0.278882
6.090000,5.934427,1.029990,0.277422,5.934427,1.029990,0.277422
6.100000,5.944044,1.032729,0.275962,5.944044,1.032729,0.275962
6.110000,5.953666,1.035454,0.274501,5.953666,1.035454,0.274501
6.120000,5.963292,1.038165,0.273041,5.963292,1.038165,0.273041
6.130000,5.972921,1.040861,0.271581,5.972921,1.040861,0.271581
6.140000,5.982555,1.043544,0.270121,5.982555,1.043544,0.270121
6.150000,5.992192,1.046212,0.268661,5.992192,1.046212,0.268661
6.160000,6.001833,1.048867,0.267201,6.001833,1.048867,0.267201
6.170000,6.011479,1.051507,0.265741,6.011479,1.051507,0.265741
6.180000,6.021128,1.054133,0.264281,6.021128,1.054133,0.264281
6.190000,6.030780,1.056745,0.262821,6.030780,1.056745,0.262821
6.200000,6.040437,1.059343,0.261360,6.040437,1.059343,0.261360
6.210000,6.050097,1.061927,0.259900,6.050097,1.061927,0.259900
6.220000,6.059762,1.064497,0.258440,6.059762,1.064497,0.258440
6.230000,6.069429,1.067053,0.256980,6.069429,1.067053,0.256980
6.240000,6.079101,1.069595,0.255520,6.079101,1.069595,0.255520
6.250000,6.088776,1.072122,0.254060,6.088776,1.072122,0.254060
6.260000,6.098455,1.074635,0.252600,6.098455,1.074635,0.252600
6.270000,6.108138,1.077135,0.251140,6.108138,1.077135,0.251140
6.280000,6.117824,1.079620,0.249679,6.117824,1.079620,0.249679
6.290000,6.127514,1.082091,0.248219,6.127514,1.082091,0.248219
6.300000,6.137208,1.084547,0.246759,6.137208,1.084547,0.246759
6.310000,6.146905,1.086990,0.245299,6.146905,1.086990,0.245299
6.320000,6.156605,1.089419,0.243839,6.156605,1.089419,0.243839
6.330000,6.166310,1.091833,0.242379,6.166310,1.091833,0.242379
6.340000,6.176017,1.094233,0.240919,6.176017,1.094233,0.240919
6.350000,6.185729,1.096619,0.239459,6.185729,1.096619,0.239459
